garment,ep,success,step,n_pass,d0,d1,d2,d3,d4,sec
Top_Long_Seen_2,0,1,150,5,3.97,6.37,5.63,18.87,16.96,15
Top_Long_Seen_2,1,1,150,5,2.49,2.68,2.6,18.82,20.89,14
Top_Long_Seen_2,2,1,150,5,8.65,3.8,7.28,18.52,19.02,15
Top_Long_Seen_2,3,1,150,5,3.77,7.9,2.88,18.61,21.94,15
Top_Long_Seen_2,4,1,200,5,8.54,5.8,2.98,18.6,19.72,20
Top_Long_Seen_2,5,1,150,5,2.24,7.69,5.16,18.85,18.81,15
Top_Long_Seen_2,6,1,200,5,1.6,10.75,2.93,18.85,19.43,20
Top_Long_Seen_2,7,1,350,5,7.53,5.0,1.5,18.82,20.13,35
Top_Long_Seen_5,0,1,200,5,3.24,5.19,3.87,18.61,16.39,20
Top_Long_Seen_5,1,0,-1,2,26.13,44.22,27.92,17.97,18.01,61
Top_Long_Seen_5,2,1,200,5,2.31,4.62,7.72,18.1,17.8,20
Top_Long_Seen_5,3,1,200,5,2.73,3.44,8.58,19.12,13.6,21
Top_Long_Seen_5,4,1,300,5,5.15,3.29,6.76,18.58,16.08,29
Top_Long_Seen_5,5,0,-1,2,26.33,26.66,29.86,19.44,17.45,71
Top_Long_Seen_5,6,0,-1,2,25.62,37.26,28.45,18.08,17.72,62
Top_Long_Seen_5,7,0,-1,2,26.42,41.29,30.51,19.29,18.51,64
Top_Long_Seen_9,0,1,200,5,6.79,7.2,2.33,17.31,20.54,19
Top_Long_Seen_9,1,1,150,5,8.41,2.01,3.19,16.89,22.08,15
Top_Long_Seen_9,2,1,150,5,2.65,7.67,3.34,17.35,17.76,15
Top_Long_Seen_9,3,1,350,5,2.93,5.04,6.21,17.39,15.66,33
Top_Long_Seen_9,4,1,150,5,6.49,7.29,2.77,17.35,22.32,15
Top_Long_Seen_9,5,0,-1,2,23.43,19.68,25.75,16.9,21.98,66
Top_Long_Seen_9,6,1,200,5,6.21,12.73,1.99,17.08,21.74,20
Top_Long_Seen_9,7,1,550,5,9.11,5.25,7.32,17.17,20.95,55
Top_Long_Unseen_0,0,0,-1,4,6.16,15.78,5.2,13.05,16.68,60
Top_Long_Unseen_0,1,1,200,5,2.18,6.26,3.64,12.93,15.67,20
Top_Long_Unseen_0,2,0,-1,4,5.07,22.22,4.12,13.18,17.35,60
Top_Long_Unseen_0,3,0,-1,3,19.68,28.71,7.18,12.63,16.88,63
Top_Long_Unseen_0,4,0,-1,1,10.74,18.54,16.48,13.39,7.11,57
Top_Long_Unseen_0,5,0,-1,2,21.16,49.19,25.26,12.19,16.13,67
Top_Long_Unseen_0,6,1,200,5,8.65,11.58,2.53,12.81,17.41,19
Top_Long_Unseen_0,7,0,-1,2,6.83,25.08,14.81,13.3,9.39,58
