garment,ep,success,step,n_pass,d0,d1,d2,d3,d4,sec
Top_Long_Seen_2,0,1,150,5,3.58,4.41,4.95,18.59,17.86,14
Top_Long_Seen_2,1,1,150,5,2.11,4.53,2.45,18.74,19.26,14
Top_Long_Seen_2,2,1,150,5,1.88,4.87,3.49,18.6,21.08,15
Top_Long_Seen_2,3,1,150,5,3.57,3.34,3.62,18.57,21.76,14
Top_Long_Seen_2,4,0,-1,4,6.55,8.49,10.78,18.84,18.12,54
Top_Long_Seen_2,5,0,-1,3,8.86,23.14,9.31,18.95,9.33,55
Top_Long_Seen_2,6,1,150,5,5.65,2.8,2.62,18.63,17.63,14
Top_Long_Seen_2,7,0,-1,1,12.33,37.39,13.51,18.41,8.16,56
Top_Long_Seen_5,0,0,-1,3,16.19,8.3,22.38,19.79,15.48,55
Top_Long_Seen_5,1,0,-1,2,14.06,18.89,21.88,18.56,18.08,56
Top_Long_Seen_5,2,1,150,5,2.72,4.13,5.59,18.66,16.97,15
Top_Long_Seen_5,3,1,150,5,1.96,5.41,8.13,18.15,16.71,15
Top_Long_Seen_5,4,0,-1,2,10.13,17.0,5.15,18.69,9.22,57
Top_Long_Seen_5,5,0,-1,1,18.76,23.9,20.56,19.27,8.7,57
Top_Long_Seen_5,6,0,-1,1,12.41,23.17,15.9,18.52,11.62,57
Top_Long_Seen_5,7,0,-1,2,16.09,11.72,16.92,19.39,8.27,58
Top_Long_Seen_9,0,1,150,5,4.98,5.57,3.41,17.08,21.88,14
Top_Long_Seen_9,1,1,150,5,8.66,5.39,3.16,17.16,22.54,14
Top_Long_Seen_9,2,0,-1,3,8.01,38.54,25.8,17.15,20.89,56
Top_Long_Seen_9,3,1,250,5,3.5,7.05,2.76,17.37,19.24,24
Top_Long_Seen_9,4,1,150,5,5.05,13.41,8.2,17.26,17.8,14
Top_Long_Seen_9,5,0,-1,3,4.36,38.31,14.28,16.8,16.51,59
Top_Long_Seen_9,6,1,150,5,5.5,4.22,2.35,16.88,22.7,15
Top_Long_Seen_9,7,1,150,5,8.33,1.84,3.88,16.84,21.22,14
Top_Long_Unseen_0,0,0,-1,2,19.83,33.71,15.94,12.85,12.49,51
Top_Long_Unseen_0,1,0,-1,2,9.2,14.48,13.93,11.12,10.76,52
Top_Long_Unseen_0,2,0,-1,2,17.09,39.78,12.13,12.52,12.19,53
Top_Long_Unseen_0,3,0,-1,2,22.1,31.94,9.93,12.66,13.07,53
Top_Long_Unseen_0,4,0,-1,3,12.22,7.27,13.1,13.49,14.67,52
Top_Long_Unseen_0,5,0,-1,2,22.89,30.55,11.64,12.72,16.39,52
Top_Long_Unseen_0,6,0,-1,4,5.24,30.04,5.19,12.88,17.78,52
Top_Long_Unseen_0,7,0,-1,2,17.94,25.66,24.75,12.87,13.94,52
